,写字楼名称,所在市区,租金,竣工时间,纬度,经度,geometry
193,泰禾大厦,上海市闸北区,6-7.5元/m2/天,,31.241265,121.45691,POINT (121.45691 31.241265)
194,虹桥南丰城,上海市长宁区,6.5-7.8元/m2/天,2000年,31.206872,121.407552,POINT (121.407552 31.206872)
195,腾飞大厦,上海市徐汇区,6.9-8.8元/m2/天,2004年4月,31.188379,121.442801,POINT (121.442801 31.188379)
196,虹桥叶迪商务园,上海市青浦区,1.6-3.2元/m2/天,,-0.006505,-0.006004,POINT (-0.006004 -0.006505)
197,国华人寿金融广场,上海市浦东区,7-11元/m2/天,2012年7月,31.225908,121.533585,POINT (121.533585 31.225908)
198,宏慧视界BOX,上海市闸北区,3.3-6元/m2/天,2016年,31.294044,121.459354,POINT (121.459354 31.294044)
199,源达大厦,上海市普陀区,1.3-7.13元/m2/天,2012年,31.241713,121.439477,POINT (121.439477 31.241713)
200,宏慧音悦湾（热推楼盘）,上海市浦东区,3.2-5.8元/m2/天,,31.195671,121.529791,POINT (121.529791 31.195671)
201,新梅联合广场,上海市浦东区,6.7-8元/m2/天,,31.228838,121.516516,POINT (121.516516 31.228838)
202,复地·四季广场（国企楼盘）,上海市杨浦区,3.4-6.5元/m2/天,2011年,31.267202,121.534008,POINT (121.534008 31.267202)
203,宝龙宝杨中心,上海市宝山区,3-3.6元/m2/天,2019年底,31.394309,121.482025,POINT (121.482025 31.394309)
204,工银大厦,上海市浦东区,8-12元/m2/天,2017年,31.239635,121.510523,POINT (121.510523 31.239635)
205,智慧七立方,上海市宝山区,1.9-3元/m2/天,,31.378121,121.491438,POINT (121.491438 31.378121)
206,浦江寰泰商务园,上海市闵行区,1.75-3元/m2/天,2015年,31.085049,121.518649,POINT (121.518649 31.085049)
207,海亮大厦,上海市普陀区,3.5-5.6元/m2/天,2012年,31.221471,121.393561,POINT (121.393561 31.221471)
208,上服德必徐家汇WE,上海市徐汇区,6.6-7.9元/m2/天,2018年,31.185832,121.432285,POINT (121.432285 31.185832)
209,由由世纪广场,上海市浦东区,5.3-10元/m2/天,2011年7月,31.217113,121.534644,POINT (121.534644 31.217113)
210,中骏广场一期,上海市长宁区,4.5-6元/m2/天,2017年底交房,31.211609,121.31582,POINT (121.31582 31.211609)
211,守信创意园,上海市徐汇区,4.5-10元/m2/天,2021年8月1日,31.168606,121.391339,POINT (121.391339 31.168606)
212,越界·乐平方,上海市闸北区,3.5-4.5元/m2/天,2012年,31.282806,121.441443,POINT (121.441443 31.282806)
213,1088广场（中融国际商城）,上海市浦东区,3.6-8.6元/m2/天,2000年1月,31.227444,121.516066,POINT (121.516066 31.227444)
214,中铁建设大厦,上海市嘉定区,1.6-2元/m2/天,2017年,31.294451,121.125952,POINT (121.125952 31.294451)
215,宝矿洲际商务中心,上海市闸北区,7-9.2元/m2/天,2009年9月,31.244235,121.453919,POINT (121.453919 31.244235)
216,正珏科技产业园,上海市闵行区,1.65-2.3元/m2/天,2012年11月,31.048093,121.398335,POINT (121.398335 31.048093)
217,海琪大厦,上海市闵行区,1.6-2.5元/m2/天,2015年,31.134552,121.350868,POINT (121.350868 31.134552)
218,麦腾未来城,上海市闵行区,1.9-3元/m2/天,2018年,31.121052,121.414999,POINT (121.414999 31.121052)
219,峻岭广场,上海市黄浦区,2.8-4.7元/m2/天,1996年9月,31.231737,121.467685,POINT (121.467685 31.231737)
220,礼德国际,上海市浦东区,4.5-4.8元/m2/天,2012年3月,31.222079,121.63149,POINT (121.63149 31.222079)
221,中国保险大厦,上海市浦东区,5.2-12元/m2/天,1997年,31.235441,121.509967,POINT (121.509967 31.235441)
222,国家开发银行大厦,上海市浦东区,4-9元/m2/天,1999年,31.236302,121.511107,POINT (121.511107 31.236302)
