,写字楼名称,所在市区,租金,竣工时间,纬度,经度,geometry
363,万源城开中心（国企楼盘租售中）,上海市闵行区,5-6.5元/m2/天,2022年5月,31.142068,121.394884,POINT (121.394884 31.142068)
364,壹丰广场,上海市虹口区,4.3-6.8元/m2/天,2011年11月,31.251503,121.484277,POINT (121.484277 31.251503)
365,海洋大厦,上海市黄浦区,7.2-9.5元/m2/天,2001年,31.230299,121.482018,POINT (121.482018 31.230299)
366,近铁城市广场（租售中）,上海市普陀区,4.2-6.5元/m2/天,2014年,31.232201,121.382896,POINT (121.382896 31.232201)
367,自然美大楼,上海市静安区,3.8元/m2/天,1998年,31.232946,121.438083,POINT (121.438083 31.232946)
368,矽岸国际,上海市浦东区,4-4.8元/m2/天,,31.203434,121.626686,POINT (121.626686 31.203434)
369,春之声大厦,上海市普陀区,4.4-5.8元/m2/天,2007年,31.233458,121.412008,POINT (121.412008 31.233458)
370,上海人脉精英科创中心,上海市静安区,5-8.2元/m2/天,,31.233978,121.44075,POINT (121.44075 31.233978)
371,啦啦荟城,上海市闵行区,4.8-5.8元/m2/天,2021年,31.129645,121.402657,POINT (121.402657 31.129645)
372,上服T·Time设计园,上海市长宁区,5-7元/m2/天,2019年,31.209459,121.392705,POINT (121.392705 31.209459)
373,齐成晟园,上海市宝山区,2-3元/m2/天,,31.293808,121.406595,POINT (121.406595 31.293808)
374,上海信息技术大厦（国企楼盘）,上海市杨浦区,3-3.9元/m2/天,2000年,31.273745,121.519603,POINT (121.519603 31.273745)
375,富荟商业广场,上海市浦东区,6.5-9.3元/m2/天,,31.205116,121.54643,POINT (121.54643 31.205116)
376,中铝大厦(国企楼盘）,上海市浦东区,5.2-10元/m2/天,2017年,31.183888,121.485293,POINT (121.485293 31.183888)
377,天汇广场,上海市普陀区,3.9-4.5元/m2/天,2016年,31.255346,121.403761,POINT (121.403761 31.255346)
378,越界·苏河汇（国企参股楼盘）,上海市普陀区,3.7-4.9元/m2/天,2011年,31.228187,121.423447,POINT (121.423447 31.228187)
379,长宁德必易园,上海市长宁区,5.8-6.5元/m2/天,2009年1月,31.21524,121.420755,POINT (121.420755 31.21524)
380,绿地创客-M创工坊,上海市虹口区,4.2-4.9元/m2/天,,31.2649,121.480084,POINT (121.480084 31.2649)
381,枫林Link创意园,上海市徐汇区,4.5-6.5元/m2/天,2012年9月,31.190287,121.459947,POINT (121.459947 31.190287)
382,越界·X2创意空间,上海市徐汇区,4.9-11.2元/m2/天,2007年,31.198675,121.465361,POINT (121.465361 31.198675)
383,苏河工场,上海市闸北区,4.3-5.72元/m2/天,2013年7月21日,31.240789,121.461896,POINT (121.461896 31.240789)
384,凯德龙之梦虹口,上海市虹口区,5.2-7.11元/m2/天,2011年10月,31.269945,121.47866,POINT (121.47866 31.269945)
385,梅龙镇广场,上海市静安区,6.8-9.3元/m2/天,1998年2月,31.228906,121.456688,POINT (121.456688 31.228906)
386,文新报业大厦,上海市静安区,4.9-6.6元/m2/天,1999年,31.225361,121.457872,POINT (121.457872 31.225361)
387,甘泉德必易园,上海市普陀区,2.6-5元/m2/天,,31.258606,121.426288,POINT (121.426288 31.258606)
388,市北上勤大厦,上海市闸北区,3.3-4.1元/m2/天,,31.297256,121.459963,POINT (121.459963 31.297256)
389,证大五道口广场,上海市浦东区,5.6-8.3元/m2/天,2007年,31.225883,121.550902,POINT (121.550902 31.225883)
390,长泰国际金融大厦,上海市浦东区,6.8-10.5元/m2/天,2008年,31.224594,121.535513,POINT (121.535513 31.224594)
391,苏豪国际广场,上海市嘉定区,1-1.3元/m2/天,,31.289891,121.122604,POINT (121.122604 31.289891)
392,德必上海书城WE（国企楼盘）,上海市黄浦区,6.7-9元/m2/天,,31.232595,121.482029,POINT (121.482029 31.232595)
393,国立大厦（国企楼盘）,上海市静安区,5.4-5.6元/m2/天,2000年,31.227143,121.448345,POINT (121.448345 31.227143)
394,怡亚通广场,上海市浦东区,2.5-2.8元/m2/天,2009年,31.243783,121.628296,POINT (121.628296 31.243783)
395,中城商务广场,上海市嘉定区,0.91-1.6元/m2/天,2018年初,31.293428,121.122368,POINT (121.122368 31.293428)
396,大树下新媒体创意园,上海市长宁区,3.3-4.5元/m2/天,2015年,31.186902,121.373718,POINT (121.373718 31.186902)
397,美丽华百新创意园,上海市宝山区,3-3.6元/m2/天,2018年7月,31.320842,121.490509,POINT (121.490509 31.320842)
398,越界·世博园（国企楼盘）,上海市黄浦区,5.5-11元/m2/天,2016年,31.201046,121.496511,POINT (121.496511 31.201046)
399,方正大厦,上海市浦东区,2.4-3.8元/m2/天,2005年,31.25298,121.61231,POINT (121.61231 31.25298)
400,上海鄂尔多斯国际大厦,上海市浦东区,4.1-7.5元/m2/天,2007年,31.226491,121.515473,POINT (121.515473 31.226491)
401,INNO创智,上海市杨浦区,4.5-5.5元/m2/天,2017年12月,31.314473,121.506695,POINT (121.506695 31.314473)
402,上海波阳创业园,上海市杨浦区,2.2-5元/m2/天,2012年,31.269872,121.549628,POINT (121.549628 31.269872)
403,长城大厦,上海市普陀区,4.5-6.9元/m2/天,2008年,31.237709,121.416326,POINT (121.416326 31.237709)
404,久事商务大厦(国企楼盘),上海市黄浦区,6-10.5元/m2/天,,31.235223,121.489019,POINT (121.489019 31.235223)
405,上服T·Star智尚园,上海市长宁区,5.8元/m2/天,2015年,31.203005,121.418091,POINT (121.418091 31.203005)
406,卓维700（国企楼盘）,上海市黄浦区,6-8元/m2/天,2004 年 5 月,31.213769,121.477468,POINT (121.477468 31.213769)
407,兆丰环球大厦,上海市徐汇区,4.2-6.3元/m2/天,1997年,31.183368,121.424715,POINT (121.424715 31.183368)
408,日月光中心,上海市黄浦区,4.8-8.2元/m2/天,2011年,31.206118,121.469315,POINT (121.469315 31.206118)
409,虹桥万通中心,上海市长宁区,5.9-7.5元/m2/天,2016年12月,31.195194,121.313953,POINT (121.313953 31.195194)
410,上海广场,上海市黄浦区,5.8-7.8元/m2/天,1998年5月,31.224489,121.478058,POINT (121.478058 31.224489)
411,龙之梦丽晶大厦,上海市长宁区,4.3-7.8元/m2/天,2006年4月,31.211001,121.430635,POINT (121.430635 31.211001)
412,近铁云中心,上海市普陀区,5.5-6.32元/m2/天,2013年,31.237356,121.417258,POINT (121.417258 31.237356)
413,精锐教育（原总部大楼）,上海市普陀区,4.5-4.8元/m2/天,,31.246474,121.429352,POINT (121.429352 31.246474)
414,古北1699,上海市长宁区,5.15-5.95元/m2/天,2016年,31.188185,121.403271,POINT (121.403271 31.188185)
415,淮海国际广场,上海市徐汇区,7.5-13元/m2/天,2005年,31.2152,121.456787,POINT (121.456787 31.2152)
416,张江日月光,上海市浦东区,5-5.8元/m2/天,,31.212607,121.63008,POINT (121.63008 31.212607)
417,绿亮资本大厦,上海市闵行区,1.9-2元/m2/天,2022年第二季度,31.068609,121.369883,POINT (121.369883 31.068609)
418,百汇园,上海市徐汇区,5.2-8元/m2/天,2017年3月,31.174902,121.461743,POINT (121.461743 31.174902)
419,品域·凌云里,上海市徐汇区,4.5-6.5元/m2/天,2020年11月,31.13672,121.428069,POINT (121.428069 31.13672)
420,红星世贸大厦,上海市普陀区,2.5-4.2元/m2/天,2007年,31.236448,121.385988,POINT (121.385988 31.236448)
421,沪西德必易园,上海市普陀区,2.4-4.2元/m2/天,2014年,31.266421,121.398351,POINT (121.398351 31.266421)
422,吉树空间-浦江国际金融广场,上海市虹口区,9.2-10.62元/m2/天,,31.250374,121.510457,POINT (121.510457 31.250374)
423,华纳商务中心,上海市闵行区,4-4.7元/m2/天,2011年4月,31.16927,121.390795,POINT (121.390795 31.16927)
424,复旦软件园（复景国际科技中心）,上海市宝山区,2.3-2.8元/m2/天,2019年,31.311666,121.4886,POINT (121.4886 31.311666)
425,锦江向阳大楼,上海市静安区,6.5-8.5元/m2/天,2002年,31.228808,121.458962,POINT (121.458962 31.228808)
426,帝宝国际大厦,上海市闵行区,3-3.7元/m2/天,2008年6月,31.170239,121.373029,POINT (121.373029 31.170239)
427,ENJOY趣办·康定路,上海市静安区,6-7.1元/m2/天,,31.23069,121.437877,POINT (121.437877 31.23069)
428,申报馆,上海市黄浦区,7.5-8元/m2/天,1919年,31.234662,121.484751,POINT (121.484751 31.234662)
429,雍和创智广场,上海市闸北区,2.5-4.2元/m2/天,2009年,31.28749,121.438681,POINT (121.438681 31.28749)
430,幸福里·睿园,上海市徐汇区,5.4-12元/m2/天,2017年8月,31.16129,121.40616,POINT (121.40616 31.16129)
431,富士康大厦,上海市浦东区,7.5-14元/m2/天,2018年10月,31.240673,121.50343,POINT (121.50343 31.240673)
432,云海大厦,上海市徐汇区,5.8-6.9元/m2/天,2000年,31.212084,121.44977,POINT (121.44977 31.212084)
433,岚桥国际大厦,上海市浦东区,5-8元/m2/天,,31.229886,121.521953,POINT (121.521953 31.229886)
434,凤凰园,上海市徐汇区,3.3-4.5元/m2/天,2006年1月,31.162242,121.396874,POINT (121.396874 31.162242)
435,瑞丰国际大厦,上海市虹口区,4.2-7.6元/m2/天,2007年10月,31.249984,121.516279,POINT (121.516279 31.249984)
436,ENJOY趣办·一百〇八上苑,上海市静安区,8-10.3元/m2/天,2019年,31.219867,121.452844,POINT (121.452844 31.219867)
437,SOHO复兴广场（租售中）,上海市黄浦区,6.03-14.29元/m2/天,2014年,31.214881,121.474704,POINT (121.474704 31.214881)
438,北外滩来福士,上海市虹口区,9-13.5元/m2/天,2019年,31.251384,121.508881,POINT (121.508881 31.251384)
439,光明金融大厦,上海市黄浦区,5.3-7.2元/m2/天,1992年12月,31.23115,121.493014,POINT (121.493014 31.23115)
440,久事复兴大厦（国企楼盘）,上海市黄浦区,6.8-7.3元/m2/天,2000年,31.217302,121.459723,POINT (121.459723 31.217302)
441,U-CUBE静安创想中心(新建商务大厦),上海市静安区,4.5-6.2元/m2/天,,31.236478,121.450421,POINT (121.450421 31.236478)
442,万都中心,上海市长宁区,5.8-7.5元/m2/天,2002年,31.20446,121.405655,POINT (121.405655 31.20446)
443,桂箐园,上海市徐汇区,2.8-4元/m2/天,1995年,31.173952,121.405446,POINT (121.405446 31.173952)
444,虹桥丽宝广场,上海市长宁区,5.5-6.8元/m2/天,2017年5月,31.196194,121.310687,POINT (121.310687 31.196194)
445,新梅华东大酒店,上海市闸北区,3-5.48元/m2/天,1993年12月,31.245965,121.458245,POINT (121.458245 31.245965)
446,WE国际文化创意中心(外滩),上海市黄浦区,8.5-14元/m2/天,2015年,31.234573,121.482734,POINT (121.482734 31.234573)
447,华源世界广场,上海市普陀区,3-6元/m2/天,1997年8月,31.24879,121.43303,POINT (121.43303 31.24879)
448,大宁德必易园,上海市闸北区,4.2-5.3元/m2/天,2013年,31.286096,121.448782,POINT (121.448782 31.286096)
449,桂果园,上海市徐汇区,3-3.5元/m2/天,1993年12月,31.166452,121.404286,POINT (121.404286 31.166452)
450,中观产业园,上海市虹口区,2.8-4元/m2/天,2015年5月,31.29239,121.493638,POINT (121.493638 31.29239)
451,瑞金商务中心,上海市黄浦区,4.2-5.4元/m2/天,1993年,31.204336,121.465703,POINT (121.465703 31.204336)
452,万硕大厦,上海市杨浦区,5-7.2元/m2/天,2017年,31.257686,121.516089,POINT (121.516089 31.257686)
453,徐汇乐业天地,上海市徐汇区,3-4.27元/m2/天,2014年3月,31.165648,121.396616,POINT (121.396616 31.165648)
454,银亿滨江中心,上海市浦东区,3.3-5元/m2/天,2014年9月,31.196794,121.512299,POINT (121.512299 31.196794)
455,中信泰富广场,上海市静安区,9-12元/m2/天,2000年5月,31.227717,121.45618,POINT (121.45618 31.227717)
456,虹桥国际科技广场,上海市长宁区,4.3-5.4元/m2/天,2010年6月,31.220542,121.351891,POINT (121.351891 31.220542)
457,城市新汇,上海市闸北区,3.2-3.7元/m2/天,2010年,31.317622,121.44752,POINT (121.44752 31.317622)
458,长房国际广场（国企楼盘）,上海市长宁区,6.6-7.8元/m2/天,2007年,31.209745,121.404047,POINT (121.404047 31.209745)
459,金桥151,上海市浦东区,2.5-3.8元/m2/天,预计2018年7月底,31.276675,121.607894,POINT (121.607894 31.276675)
460,云仓891创意产业园,上海市闸北区,3-3.8元/m2/天,2014年,31.277397,121.433177,POINT (121.433177 31.277397)
461,波特营创意园,上海市浦东区,7-14元/m2/天,1999年,31.231584,121.522396,POINT (121.522396 31.231584)
462,嘉和国际大厦,上海市虹口区,3.5-7.33元/m2/天,,31.268567,121.479088,POINT (121.479088 31.268567)
463,中成智谷,上海市宝山区,2.3-3.8元/m2/天,2016年2月29日,31.349745,121.497046,POINT (121.497046 31.349745)
464,信泰融资大厦,上海市浦东区,1.8-4.5元/m2/天,2013年,31.308996,121.605766,POINT (121.605766 31.308996)
465,星汇大厦,上海市松江区,2.3-2.8元/m2/天,,31.142922,121.328965,POINT (121.328965 31.142922)
466,漕河泾德必易园,上海市徐汇区,3.9-5.5元/m2/天,2013年6月,31.152528,121.436151,POINT (121.436151 31.152528)
467,浦江智地,上海市闵行区,2-3元/m2/天,2015年,31.075939,121.525918,POINT (121.525918 31.075939)
468,浦锦新天地（星简办公）,上海市闵行区,2.5-3.22元/m2/天,2017年8月,31.092359,121.492149,POINT (121.492149 31.092359)
469,Young Square 1780 洋广场,上海市闵行区,3.1-5元/m2/天,2016年11月,31.169893,121.366438,POINT (121.366438 31.169893)
470,华敏·翰尊国际,上海市长宁区,3.5-6.3元/m2/天,2005年8月10号,31.215336,121.434034,POINT (121.434034 31.215336)
471,创兴金融中心,上海市黄浦区,7.5-10元/m2/天,2007年,31.231813,121.4708,POINT (121.4708 31.231813)
472,新一百大厦,上海市黄浦区,6元/m2/天,2000年,31.2351,121.475794,POINT (121.475794 31.2351)
473,哈瑞中心,上海市闸北区,3.9-4.3元/m2/天,2018年,31.300823,121.457138,POINT (121.457138 31.300823)
474,U-CUBE南西中心(东方海外大厦),上海市静安区,4.8-8.5元/m2/天,2016年,31.222985,121.45466,POINT (121.45466 31.222985)
475,金昌商务中心（国企楼盘）,上海市普陀区,3-10元/m2/天,,31.241402,121.435323,POINT (121.435323 31.241402)
476,越界·X2创意空间二期,上海市徐汇区,4.7-6.2元/m2/天,,31.193758,121.460737,POINT (121.460737 31.193758)
477,上海华电大厦(国企楼盘）,上海市浦东区,5-8元/m2/天,2016年,31.180831,121.486678,POINT (121.486678 31.180831)
478,嘉麒大厦,上海市长宁区,5-6.5元/m2/天,2005年,31.205198,121.400324,POINT (121.400324 31.205198)
479,龙盛777(LONSEN777),上海市闸北区,3.8-18元/m2/天,2017年6月,31.280605,121.444406,POINT (121.444406 31.280605)
480,虹桥国际商务广场,上海市闵行区,5.2-7.3元/m2/天,2012年11月,31.16698,121.384207,POINT (121.384207 31.16698)
481,越界·智汇园,上海市宝山区,2-2.8元/m2/天,,31.342101,121.443553,POINT (121.443553 31.342101)
482,宝华中心,上海市闸北区,5.6-7元/m2/天,2013年4月,31.279418,121.446138,POINT (121.446138 31.279418)
483,城汇大厦（国企楼盘）,上海市黄浦区,7.5-9元/m2/天,2011年,31.218463,121.470883,POINT (121.470883 31.218463)
484,永新广场,上海市黄浦区,9.86-12.5元/m2/天,1996年5月,31.23335,121.472807,POINT (121.472807 31.23335)
485,五角丰达商务广场,上海市杨浦区,2.8-5.2元/m2/天,2011年,31.3025,121.518814,POINT (121.518814 31.3025)
486,淮海中华大厦,上海市黄浦区,3.61-8.04元/m2/天,2004年,31.224965,121.484106,POINT (121.484106 31.224965)
487,融智天地,上海市浦东区,7.5-8.5元/m2/天,,31.203296,121.511523,POINT (121.511523 31.203296)
488,一百杉杉大厦,上海市浦东区,3.5-6.24元/m2/天,1996年1月1日,31.22164,121.52976,POINT (121.52976 31.22164)
489,交能国际大厦,上海市浦东区,1.5-2.5元/m2/天,,31.343947,121.593056,POINT (121.593056 31.343947)
490,保周创新中心,上海市浦东区,1.8-2.2元/m2/天,,-0.006505,-0.006004,POINT (-0.006004 -0.006505)
491,浦发江程广场,上海市浦东区,3.8-5.5元/m2/天,2021年初改造,31.263801,121.631032,POINT (121.631032 31.263801)
492,徐汇大树下创意园,上海市徐汇区,3.4-5.2元/m2/天,2017年7月,31.152589,121.441741,POINT (121.441741 31.152589)
493,安垦活力,上海市静安区,7.5-8元/m2/天,2015年,31.240972,121.447856,POINT (121.447856 31.240972)
494,欧银中心,上海市闵行区,3.3-3.5元/m2/天,2000年1月,31.171191,121.37499,POINT (121.37499 31.171191)
495,创智汇,上海市杨浦区,3.5-6元/m2/天,2018年,31.299616,121.520758,POINT (121.520758 31.299616)
496,恒润大厦,上海市青浦区,2.5-3.3元/m2/天,,31.182245,121.265215,POINT (121.265215 31.182245)
497,万科七宝国际,上海市闵行区,3.2-5.14元/m2/天,2016年,31.150813,121.336856,POINT (121.336856 31.150813)
498,云汇天地,上海市浦东区,6.37-8元/m2/天,2021年7月,31.205152,121.562033,POINT (121.562033 31.205152)
499,高宝新时代广场,上海市虹口区,3.9-6.8元/m2/天,1997年1月,31.256427,121.483778,POINT (121.483778 31.256427)
500,德宏大厦,上海市浦东区,3.5-4元/m2/天,,31.204163,121.617102,POINT (121.617102 31.204163)
501,上海力波中心（租售中）,上海市闵行区,4.6-6.5元/m2/天,2020年8月份改造,31.132842,121.411398,POINT (121.411398 31.132842)
502,中港汇·静安,上海市闸北区,7.5-9元/m2/天,2012年5月,31.243029,121.45662,POINT (121.45662 31.243029)
503,芳华德必运动LOFT,上海市浦东区,4.2-6.8元/m2/天,2017年,31.195283,121.553637,POINT (121.553637 31.195283)
504,裕安大厦,上海市浦东区,3.18-5.5元/m2/天,1995年,31.227643,121.524934,POINT (121.524934 31.227643)
505,星联科研大厦（国企楼盘）,上海市徐汇区,4.8-5.5元/m2/天,2011年6月,31.162714,121.400629,POINT (121.400629 31.162714)
506,上海白玉兰广场(金光中心),上海市虹口区,8-12.8元/m2/天,2016年12月,31.248415,121.499624,POINT (121.499624 31.248415)
507,金穗大厦,上海市浦东区,5.2-5.5元/m2/天,1997年,31.238314,121.511118,POINT (121.511118 31.238314)
508,德必老洋行1913,上海市虹口区,4-5.7元/m2/天,2011年10月,31.25431,121.490692,POINT (121.490692 31.25431)
509,德必法华525创意树林,上海市长宁区,6.2-7.5元/m2/天,2007年6月,31.205082,121.425765,POINT (121.425765 31.205082)
510,美通科创空间,上海市徐汇区,3.4-4元/m2/天,2015年,31.148054,121.431523,POINT (121.431523 31.148054)
511,宏慧城市新汇园(热推楼盘),上海市闸北区,3.2-3.9元/m2/天,2016年11月,31.318668,121.446454,POINT (121.446454 31.318668)
512,西岸halo,上海市浦东区,3.5-4.5元/m2/天,2021年9月,-0.006505,-0.006004,POINT (-0.006004 -0.006505)
513,通茂大厦（中国通信贸易大厦）,上海市浦东区,3.5-5.5元/m2/天,1997年11月,31.226004,121.535885,POINT (121.535885 31.226004)
514,炬芯研发大楼,上海市浦东区,3.5-5.5元/m2/天,2015年,31.179035,121.605136,POINT (121.605136 31.179035)
515,中城国际大厦,上海市徐汇区,5-8.3元/m2/天,2014年6月,31.193136,121.429681,POINT (121.429681 31.193136)
516,嘉兴大厦,上海市浦东区,3.5-5.6元/m2/天,,31.22406,121.528633,POINT (121.528633 31.22406)
517,【国企减免】星云智创·新天地,上海市黄浦区,5000-40000元/月,2004 年 5 月,31.213769,121.477468,POINT (121.477468 31.213769)
518,九亭U天地,上海市松江区,2.8-3.9元/m2/天,,-0.006505,-0.006004,POINT (-0.006004 -0.006505)
519,德必虹桥绿谷WE”,上海市长宁区,3.9-6.5元/m2/天,2015年,31.188076,121.3172,POINT (121.3172 31.188076)
520,首位SHOWAY（租售中）,上海市闵行区,5.5-6.5元/m2/天,2021年,31.190311,121.295549,POINT (121.295549 31.190311)
521,宝华城市晶典大厦,上海市普陀区,5.1-6.2元/m2/天,2009年7月,31.237054,121.437514,POINT (121.437514 31.237054)
522,瑞安广场,上海市黄浦区,10-12元/m2/天,,31.221995,121.47412,POINT (121.47412 31.221995)
523,中区广场,上海市黄浦区,8-12.33元/m2/天,1998年,31.228806,121.470878,POINT (121.470878 31.228806)
524,田林园,上海市徐汇区,2.5-3.7元/m2/天,1983年1月,31.166607,121.404664,POINT (121.404664 31.166607)
525,中期大厦,上海市普陀区,2.3-5.5元/m2/天,,31.248439,121.432391,POINT (121.432391 31.248439)
526,中信广场,上海市虹口区,3.7-9元/m2/天,2011年6月,31.247029,121.484373,POINT (121.484373 31.247029)
527,日月光伯爵居,上海市黄浦区,5.5元/m2/天,,31.205855,121.469108,POINT (121.469108 31.205855)
528,香港广场,上海市黄浦区,6.5-11元/m2/天,1998年,31.223102,121.475149,POINT (121.475149 31.223102)
529,裕景国际商务广场,上海市浦东区,4-7.5元/m2/天,2006年,31.240235,121.520589,POINT (121.520589 31.240235)
530,凯迪克大厦,上海市静安区,4-5.3元/m2/天,2000年,31.231511,121.455322,POINT (121.455322 31.231511)
531,陆家嘴软件园（国企楼盘）,上海市浦东区,4.2-8元/m2/天,,31.217197,121.532718,POINT (121.532718 31.217197)
532,万泰大厦,上海市虹口区,4-4.5元/m2/天,,31.282847,121.476703,POINT (121.476703 31.282847)
533,大宁音乐广场(大宁中心广场一期)（国企楼盘）,上海市闸北区,4.3-5.75元/m2/天,2016年5月,31.2811,121.444039,POINT (121.444039 31.2811)
534,生命人寿大厦,上海市浦东区,3-7.5元/m2/天,,31.228672,121.520797,POINT (121.520797 31.228672)
535,古美创智中心,上海市闵行区,3.7-5元/m2/天,,31.157113,121.402286,POINT (121.402286 31.157113)
536,高维大厦,上海市浦东区,7.6-8.3元/m2/天,,31.243757,121.531449,POINT (121.531449 31.243757)
537,江空间（大宁中心广场三期）,上海市闸北区,4.2-4.5元/m2/天,,-0.006505,-0.006004,POINT (-0.006004 -0.006505)
538,诚达创意园,上海市徐汇区,5.2-6元/m2/天,2014年7月,31.171827,121.416554,POINT (121.416554 31.171827)
539,天安中心（租售中）,上海市黄浦区,4.9-9.5元/m2/天,2004年,31.231351,121.470124,POINT (121.470124 31.231351)
540,中西大厦,上海市长宁区,4-5.02元/m2/天,2012年改造,31.223261,121.429845,POINT (121.429845 31.223261)
541,大上海时代广场,上海市黄浦区,6-11.5元/m2/天,2000年,31.224028,121.479836,POINT (121.479836 31.224028)
542,WE国际文化创意中心(静安),上海市静安区,7-11.36元/m2/天,2015年,31.229082,121.441139,POINT (121.441139 31.229082)
543,eat n work,上海市浦东区,1935-88800元/月,2002年4月18日,31.235884,121.499963,POINT (121.499963 31.235884)
544,亚盛大厦,上海市静安区,7.5-8.6元/m2/天,,31.230747,121.455445,POINT (121.455445 31.230747)
545,明谷科技园（国企楼盘）,上海市闵行区,2.6-3.3元/m2/天,2016年,31.136024,121.347788,POINT (121.347788 31.136024)
546,复地万科活力城,上海市浦东区,3-4.5元/m2/天,,31.155911,121.564912,POINT (121.564912 31.155911)
547,华都大厦,上海市浦东区,4.8-7元/m2/天,1995年,31.228105,121.523722,POINT (121.523722 31.228105)
548,金沙商务广场,上海市普陀区,2.6-4.5元/m2/天,2009年8月,31.233875,121.372546,POINT (121.372546 31.233875)
549,ENJOY趣办·五环大厦,上海市杨浦区,2.8-3.9元/m2/天,,31.270489,121.509232,POINT (121.509232 31.270489)
550,天鸿创新园,上海市宝山区,2.3-3.1元/m2/天,2017年,31.289961,121.421399,POINT (121.421399 31.289961)
551,隆宇大厦,上海市浦东区,4.3-6元/m2/天,2000年11月,31.22824,121.515507,POINT (121.515507 31.22824)
552,创智空间,上海市浦东区,5.2-5.8元/m2/天,,31.204714,121.600223,POINT (121.600223 31.204714)
553,巴黎时韵,上海市徐汇区,4.6-6.2元/m2/天,2003年10月,31.205758,121.458128,POINT (121.458128 31.205758)
554,静安国际中心,上海市闸北区,7.1-8.9元/m2/天,2019年,31.242716,121.454474,POINT (121.454474 31.242716)
555,来福士广场,上海市黄浦区,8.5-10.8元/m2/天,2003年11月,31.231707,121.477249,POINT (121.477249 31.231707)
556,协泰中心,上海市长宁区,4.2-6.66元/m2/天,1994年,31.204222,121.4065,POINT (121.4065 31.204222)
557,海鸥科创大厦（国企楼盘）,上海市杨浦区,4-6.8元/m2/天,,31.259,121.519845,POINT (121.519845 31.259)
558,天安金融大厦,上海市浦东区,5.5-6.5元/m2/天,2018年12月,31.185819,121.499052,POINT (121.499052 31.185819)
559,东方城市大厦,上海市浦东区,5-5.5元/m2/天,2013年12月31日,31.245974,121.54818,POINT (121.54818 31.245974)
560,绿地双创中心,上海市杨浦区,2.75-5元/m2/天,2015年,31.31395,121.506509,POINT (121.506509 31.31395)
561,越界·永嘉庭,上海市徐汇区,7.7-14元/m2/天,2010年,31.205889,121.451557,POINT (121.451557 31.205889)
562,港陆广场,上海市黄浦区,5.5-7.8元/m2/天,1997年12月,31.228671,121.479106,POINT (121.479106 31.228671)
563,我格广场,上海市普陀区,4.5-5.6元/m2/天,2012年,31.237163,121.423738,POINT (121.423738 31.237163)
564,静安现代产业大厦（国企楼盘）,上海市静安区,5.5元/m2/天,2005年,31.238649,121.453985,POINT (121.453985 31.238649)
565,申华金融大厦,上海市黄浦区,5.8-7.8元/m2/天,2000年,31.238549,121.487211,POINT (121.487211 31.238549)
566,双鸽大厦,上海市浦东区,4.6-6.8元/m2/天,2004年,31.222619,121.533914,POINT (121.533914 31.222619)
567,东方蓝海国际广场,上海市杨浦区,3.7-6.5元/m2/天,2011年,31.289656,121.521622,POINT (121.521622 31.289656)
568,运河湾上海知识产权园,上海市杨浦区,2.1-3.5元/m2/天,2014年,31.281427,121.558646,POINT (121.558646 31.281427)
569,金玉兰广场,上海市黄浦区,4.5-5.5元/m2/天,1998年,31.204481,121.470896,POINT (121.470896 31.204481)
570,漕河泾创业园,上海市徐汇区,3.5-3.8元/m2/天,2008年,31.173075,121.403411,POINT (121.403411 31.173075)
571,港泰广场,上海市黄浦区,4.5-5.8元/m2/天,1999年,31.229232,121.479973,POINT (121.479973 31.229232)
572,创邑SPACE·老码头(老码头一期),上海市黄浦区,6.5-9.5元/m2/天,2007年7月,31.218974,121.50574,POINT (121.50574 31.218974)
573,金砖大厦(东方汇经中心),上海市浦东区,10.8-14元/m2/天,2013年,31.232243,121.504342,POINT (121.504342 31.232243)
574,长久商务中心,上海市普陀区,2.86-4.76元/m2/天,2002年5月,31.237501,121.43668,POINT (121.43668 31.237501)
575,幸福里,上海市长宁区,7.8-11元/m2/天,2015年,31.20468,121.430199,POINT (121.430199 31.20468)
576,杨浦都市工业园智汇商务楼（国企楼盘）,上海市杨浦区,2.28-3.28元/m2/天,2006年,31.33101,121.53454,POINT (121.53454 31.33101)
577,新天国际大厦,上海市浦东区,3.8-7元/m2/天,2001年,31.223681,121.53166,POINT (121.53166 31.223681)
578,莱茵·虹桥中心,上海市闵行区,3.2-3.6元/m2/天,2011年1月,31.17932,121.379754,POINT (121.379754 31.17932)
579,吉树空间-淮海国际广场,上海市徐汇区,8.77-9.6元/m2/天,2005年,31.2152,121.456787,POINT (121.456787 31.2152)
580,中港汇,上海市普陀区,6.5-9.2元/m2/天,2006年9月,31.235016,121.43096,POINT (121.43096 31.235016)
581,新业大楼,上海市徐汇区,3.2-4.8元/m2/天,1998年9月,31.166207,121.399576,POINT (121.399576 31.166207)
582,盛大全球研发中心,上海市浦东区,3.9-4.6元/m2/天,,31.187402,121.596719,POINT (121.596719 31.187402)
583,东淮海国际大厦,上海市黄浦区,4.7-5.5元/m2/天,2007年2月,31.225724,121.482972,POINT (121.482972 31.225724)
584,内外联大厦,上海市浦东区,3.3-5.2元/m2/天,1998年8月,31.229301,121.517601,POINT (121.517601 31.229301)
585,友力国际大厦,上海市普陀区,6.2-6.9元/m2/天,2008年6月,31.243415,121.444859,POINT (121.444859 31.243415)
586,东方国际大厦,上海市长宁区,3.5-5.7元/m2/天,1997年,31.205114,121.402924,POINT (121.402924 31.205114)
